city,cycleway,Country,Year,Population,Walk,Bike,PT,Car,country
Leeds,190.6428011613558,United Kingdom,2010.0,770800.0,4.0,1.0,38.0,57.0,uk
Sheffield,77.39830565044163,United Kingdom,2010.0,534500.0,10.0,1.0,34.0,55.0,uk
Portsmouth,62.37792317965487,United Kingdom,2008.0,442252.0,15.0,7.0,11.0,67.0,uk
Bristol,109.50125834156934,United Kingdom,2013.0,437e3,21.0,14.0,16.0,49.0,uk
Nottingham,146.50601889264988,United Kingdom,2011.0,303900.0,17.0,4.0,25.0,54.0,uk
Leicester,89.104549211598,United Kingdom,2011.0,294700.0,28.0,2.0,35.0,35.0,uk
Plymouth,79.42064100009125,United Kingdom,2010.0,256700.0,18.0,3.0,12.0,67.0,uk
Stoke-on-Trent,113.9658966927833,United Kingdom,2011.0,24e4,11.0,1.0,16.0,72.0,uk
Southampton,45.99588000868668,United Kingdom,2010.0,234100.0,14.0,3.0,24.0,59.0,uk
York,148.7567373888416,United Kingdom,2011.0,197800.0,20.0,12.0,11.0,57.0,uk
Milton Keynes,413.04830971812856,United Kingdom,2009.0,195687.0,10.0,4.0,11.0,75.0,uk
Swindon,130.34119135627915,United Kingdom,2010.0,184e3,6.0,7.0,2.0,85.0,uk
Southend-on-Sea,29.147992029362193,United Kingdom,2011.0,174300.0,15.0,3.0,23.0,59.0,uk
Peterborough,187.46559848792108,United Kingdom,2008.0,164e3,25.0,6.0,8.0,61.0,uk
Thurrock,40.608237380409655,United Kingdom,2011.0,158300.0,6.0,2.0,22.0,70.0,uk
Oxford,100.51720855918829,United Kingdom,2011.0,150200.0,19.0,19.0,21.0,41.0,uk
Blackburn with Darwen,11.459307270276552,United Kingdom,2011.0,147700.0,20.0,1.0,9.0,70.0,uk
Blackpool,6.661839253274634,United Kingdom,2010.0,141900.0,17.0,1.0,2.0,80.0,uk
Norwich,18.599426369029903,United Kingdom,2011.0,132512.0,25.0,10.0,10.0,55.0,uk
Ipswich,45.40409631306003,United Kingdom,2009.0,128e3,30.0,2.0,8.0,60.0,uk
Watford,19.811914068712667,United Kingdom,2008.0,121e3,22.0,2.0,10.0,66.0,uk
Exeter,89.24828616823886,United Kingdom,2008.0,118e3,26.0,4.0,9.0,61.0,uk
Preston,66.98209554863416,United Kingdom,2006.0,114e3,23.0,2.0,10.0,65.0,uk
London,969.1690773937025,United Kingdom,2015.0,8673713.0,30.0,3.0,29.0,38.0,uk
Berlin,1327.3005938424294,Germany,2008.0,3506239.0,30.0,13.0,26.0,31.0,de
Hamburg,817.0048509557658,Germany,2008.0,1735663.0,28.0,12.0,18.0,42.0,de
München,698.6819429408877,Germany,2008.0,1326807.0,28.0,14.0,21.0,37.0,de
Köln,211.55741966957999,Germany,2006.0,989766.0,24.0,12.0,21.0,43.0,de
Frankfurt,227.56962142280202,Germany,2008.0,68e4,31.0,11.0,20.0,38.0,de
Düsseldorf,190.94627875358634,Germany,2008.0,629005.0,27.0,11.0,22.0,40.0,de
Stuttgart,34.259051462783894,Germany,2009.0,592915.0,27.0,5.0,24.0,44.0,de
Bremen,589.2946413624367,Germany,2008.0,547735.0,21.0,25.0,14.0,40.0,de
Hannover,471.07878305747823,Germany,2011.0,518386.0,25.0,19.0,18.0,38.0,de
Leipzig,266.4438960673131,Germany,2008.0,515418.0,27.0,14.0,19.0,40.0,de
Dresden,209.71333176934706,Germany,2008.0,512546.0,22.0,16.0,21.0,41.0,de
