City,Country,Year,Population,Walk,Bike,PT,Car
Norway,Norway,2014.0,5109056.0,21.0,5.0,10.0,64.0
Athens,Greece,2006.0,3627500.0,8.0,2.0,37.0,53.0
Berlin,Germany,2008.0,3506239.0,30.0,13.0,26.0,31.0
Madrid,Spain,2012.0,3233527.0,29.0,0.0,42.0,29.0
West Midlands,United Kingdom,2011.0,2738100.0,10.0,2.0,18.0,70.0
Greater Manchester,United Kingdom,2011.0,2685400.0,10.0,2.0,17.0,71.0
West Yorkshire,United Kingdom,2013.0,2227400.0,5.0,1.0,31.0,63.0
Paris,France,2008.0,2211297.0,47.0,3.0,33.0,17.0
Bucharest,Romania,2007.0,194e4,22.0,1.0,53.0,24.0
Stockholm,Sweden,2006.0,1889945.0,17.0,1.0,35.0,47.0
Budapest,Hungary,2014.0,1744655.0,18.0,2.0,45.0,35.0
Hamburg,Germany,2008.0,1735663.0,28.0,12.0,18.0,42.0
Essex,United Kingdom,2011.0,1729200.0,9.0,2.0,18.0,71.0
Lancashire,United Kingdom,2011.0,1461400.0,11.0,2.0,8.0,79.0
Sevilla (Agglomeration),Spain,2007.0,145e4,31.0,2.0,14.0,53.0
Lyon,France,2015.0,1375e3,34.0,2.0,19.0,45.0
München,Germany,2008.0,1326807.0,28.0,14.0,21.0,37.0
Sofia,Bulgaria,2010.0,1211348.0,14.0,3.0,32.0,51.0
Marseille,France,2009.0,1177e3,34.0,1.0,11.0,54.0
Brussels Capital Region,Belgium,2008.0,1136920.0,3.0,2.0,48.0,47.0
Dublin,Ireland,2011.0,1110627.0,15.0,7.0,21.0,57.0
Lille,France,2006.0,1093e3,32.0,2.0,10.0,57.0
Bas-Rhin,France,2009.0,1057e3,25.0,6.0,8.0,61.0
Köln,Germany,2006.0,989766.0,24.0,12.0,21.0,43.0
Torino,Italy,2011.0,9e5,7.0,1.0,28.0,64.0
Bordeaux,France,2009.0,881e3,21.0,3.0,9.0,67.0
Gloucestershire,United Kingdom,2011.0,861700.0,12.0,4.0,6.0,78.0
West Sussex,United Kingdom,2011.0,808900.0,11.0,3.0,13.0,73.0
Valencia,Spain,2012.0,786189.0,41.0,4.0,23.0,32.0
Thessaloniki,Greece,2010.0,78e4,10.0,10.0,25.0,55.0
Leeds,United Kingdom,2010.0,770800.0,4.0,1.0,38.0,57.0
Buckinghamshire,United Kingdom,2011.0,756600.0,9.0,2.0,12.0,77.0
Kraków,Poland,2010.0,756183.0,25.0,1.0,46.0,28.0
Amsterdam,Netherlands,2008.0,747093.0,20.0,22.0,20.0,38.0
Lviv,Ukraine,2006.0,733989.0,34.0,1.0,39.0,26.0
Riga,Latvia,2008.0,706413.0,19.0,2.0,34.0,45.0
Sevilla,Spain,2011.0,702355.0,37.0,6.0,22.0,35.0
Frankfurt,Germany,2008.0,68e4,31.0,11.0,20.0,38.0
Palermo,Italy,2015.0,678492.0,12.0,1.0,9.0,78.0
Region Nort-East Brabant,Netherlands,2014.0,664e3,0.0,30.0,6.0,64.0
