city,barrier,renting_rental,shop,cycleway,Country,Year,Population,Walk,Bike,PT,Car
Madrid,1554,1,1,292.20974821857664,Spain,2012.0,3233527.0,29.0,0.0,42.0,29.0
Valencia,124,217,12,196.36955344035553,Spain,2012.0,786189.0,41.0,4.0,23.0,32.0
Sevilla,807,3,22,175.84099753942132,Spain,2011.0,702355.0,37.0,6.0,22.0,35.0
Málaga,110,1,7,74.78420721334425,Spain,2008.0,561e3,38.0,1.0,12.0,49.0
Tarragona,80,4,1,3.621080566338257,Spain,2006.0,528e3,49.0,1.0,4.0,46.0
Murcia,157,1,0,85.84225941239266,Spain,2009.0,43e4,37.0,1.0,10.0,52.0
Bilbao,63,1,9,31.039779645500637,Spain,2006.0,353e3,60.0,1.0,28.0,11.0
Córdoba,120,39,3,169.42565407529736,Spain,2010.0,33e4,43.0,2.0,10.0,45.0
Pamplona,30,3,1,43.98406864941031,Spain,2006.0,321e3,43.0,1.0,15.0,41.0
A Coruña,149,30,3,16.507518769353805,Spain,2013.0,246146.0,48.0,2.0,13.0,37.0
Vitoria-Gasteiz,194,4,10,139.84355952727157,Spain,2014.0,24e4,54.0,13.0,8.0,25.0
Donostia-San Sebastián,145,33,9,56.24412602384984,Spain,2011.0,186185.0,49.0,4.0,19.0,28.0
Leganés,84,7,1,74.8831572151582,Spain,2004.0,181248.0,29.0,1.0,34.0,36.0
Burgos,273,417,19,57.556147694179685,Spain,2010.0,178500.0,45.0,4.0,23.0,28.0
León,6,3,1,20.73922420874637,Spain,2009.0,137064.0,64.0,1.0,6.0,29.0
Granollers,244,7,1,11.09717647527297,Spain,2005.0,59954.0,72.0,0.0,4.0,24.0
Barcelona,677,5,24,153.38800332311007,Spain,2012.0,1620943.0,32.0,2.0,40.0,26.0
Ghent,455,62,0,296.05632107519267,Belgium,2012.0,251e3,24.0,20.0,9.0,47.0
Charleroi,247,1,1,65.93119465148527,Belgium,2008.0,202598.0,3.0,1.0,12.0,84.0
